Bib	Wave	Team	Start	End	Num Laps	Laps Started																
51	0	M40S	null	null	8	0																
65	0	M40S	null	null	8	0																
576	1	M30S	null	null	4	0																
589	1	M30S	null	null	4	0																
605	1	M30S	null	null	4	0																
612	1	M30S	null	null	4	0																
634	1	M30S	null	null	4	0																
635	1	M30S	null	null	4	0																
652	1	M30S	null	null	4	0																
653	1	M30S	null	null	4	0																
772	1	M30S	null	null	4	0																
780	1	M30S	null	null	4	0																
773	1	M30S	null	null	4	0																
96	1	M30S	null	null	4	0																
808	1	M30S	null	null	4	0																
517	1	M30S	null	null	4	0																
804	1	M30S	null	null	4	0																
720	1	M30S	null	null	4	0																
536	2	M20S	null	null	4	0																
537	2	M20S	null	null	4	0																
544	2	M20S	null	null	4	0																
549	2	M20S	null	null	4	0																
550	2	M20S	null	null	4	0																
554	2	M20S	null	null	4	0																
557	2	M20S	null	null	4	0																
668	3	M40S	null	null	4	0																
672	3	M40S	null	null	4	0																
686	3	M40S	null	null	4	0																
690	3	M40S	null	null	4	0																
695	3	M40S	null	null	4	0																
698	3	M40S	null	null	4	0																
703	3	M40S	null	null	4	0																
89	3	M40S	null	null	4	0																
784	4	M50S	null	null	4	0																
524	4	MSUB20	null	null	4	0																
99	4	MSUB20	null	null	4	0																
751	4	F30S	null	null	4	0																
511	4	F40S	null	null	4	0																
644	2	M20S	6:17:28	null	4	2	6:17:27	null	6:17:29	null												
716	3	M40S	6:19:51	null	4	2	6:19:51	7:18:06	7:18:06	null												
812	2	M20S	6:20:03	null	4	2	6:20:03	8:04:41	8:04:42	null												
814	2	M20S	6:20:51	null	4	2	6:20:51	8:04:44	8:04:45	null												
813	2	M20S	6:20:51	null	4	2	6:20:51	8:04:43	8:04:43	null												
816	3	M40S	6:20:55	null	4	2	6:20:55	7:18:04	7:18:06	null												
9	0	M30S	6:03:19	null	8	2	6:03:19	6:40:24	6:40:24	null												
592	1	M30S	6:14:23	8:41:15	4	4	6:14:23	6:48:57	6:48:57	7:24:49	7:24:50	8:03:10	8:03:10	8:41:15								
774	1	M30S	6:14:22	9:01:41	4	4	6:14:23	6:52:26	6:52:26	7:32:22	7:32:22	8:14:55	8:14:55	9:01:41								
598	1	M30S	6:14:25	9:11:01	4	4	6:14:25	6:53:12	6:53:12	7:44:34	7:44:34	8:25:44	8:25:44	9:11:01								
607	1	M30S	6:14:30	9:14:04	4	4	6:14:29	6:55:32	6:55:32	7:38:49	7:38:49	8:24:46	8:24:46	9:14:04								
581	1	M30S	6:14:25	9:30:30	4	4	6:14:24	6:55:37	6:55:37	7:39:56	7:39:56	8:30:51	8:30:51	9:30:30								
591	1	M30S	6:14:25	9:18:40	4	4	6:14:26	6:55:43	6:55:43	7:39:50	7:39:50	8:24:45	8:24:45	9:18:40								
72	1	M30S	6:14:30	9:44:49	4	4	6:14:29	null	null	6:56:52	6:56:52	7:44:33	7:44:33	9:44:49								
758	2	M20S	6:17:21	8:53:24	4	4	6:17:22	6:57:07	6:57:07	7:34:26	7:34:26	8:11:50	8:11:50	8:53:24								
523	2	M20S	6:17:24	8:59:35	4	4	6:17:23	6:57:52	6:57:52	7:37:05	7:37:05	8:16:37	8:16:37	8:59:35								
47	1	M30S	6:15:41	9:13:16	4	4	6:15:41	6:58:37	6:58:37	7:41:48	7:41:48	8:26:46	8:26:46	9:13:16								
584	1	M30S	6:14:39	9:32:02	4	4	6:14:39	6:58:43	6:58:44	7:44:19	7:44:19	8:34:56	8:34:56	9:32:02								
654	1	M30S	6:14:29	9:26:29	4	4	6:14:29	6:59:24	6:59:24	7:43:56	7:43:56	8:32:15	8:32:16	9:26:29								
70	1	M30S	6:15:37	9:13:57	4	4	6:15:37	7:00:07	7:00:07	7:43:56	7:43:56	8:28:15	8:28:15	9:13:57								
573	1	M30S	6:14:27	10:02:54	4	4	6:14:28	7:00:15	7:00:15	7:51:44	7:51:44	8:53:41	8:53:42	10:02:54								
580	1	M30S	6:14:35	9:35:53	4	4	6:14:35	7:01:05	7:01:05	7:46:56	7:46:56	8:36:32	8:36:32	9:35:53								
679	3	M40S	6:19:31	9:15:01	4	4	6:19:32	7:01:33	7:01:33	7:42:14	7:42:14	8:26:53	8:26:53	9:15:01								
782	3	M40S	6:19:32	9:16:43	4	4	6:19:32	7:01:34	7:01:34	7:43:12	7:43:12	8:26:20	8:26:43	9:16:43								
603	1	M30S	6:14:43	9:36:54	4	4	6:14:43	7:01:41	7:01:42	7:48:32	7:48:33	8:39:44	8:39:44	9:36:54								
632	1	M30S	6:14:45	10:26:53	4	4	6:14:45	7:02:03	7:02:03	8:01:08	8:01:08	9:09:41	9:09:41	10:26:53								
656	1	M30S	6:14:31	10:15:57	4	4	6:14:31	7:02:07	7:02:07	7:51:55	7:51:55	9:03:42	9:03:42	10:15:57								
700	3	M40S	7:03:00	10:01:28	4	4	7:03:00	7:55:11	7:55:11	8:52:03	8:52:03	10:01:28	10:01:28	null								
595	1	M30S	6:14:33	10:04:23	4	4	6:14:33	7:03:01	7:03:02	7:55:56	7:55:56	8:59:29	8:59:30	10:04:23								
84	2	M20S	6:17:25	9:36:28	4	4	6:17:26	7:03:02	7:03:02	7:45:54	7:45:54	8:40:05	8:40:06	9:36:28								
676	3	M40S	6:19:37	9:09:01	4	4	6:19:37	7:03:05	7:03:06	7:44:11	7:44:11	8:25:41	8:25:41	9:09:01								
69	1	M30S	6:14:30	10:03:59	4	4	6:14:30	7:03:06	7:03:07	7:55:55	7:55:56	8:59:29	8:59:29	10:03:59								
614	1	M30S	6:14:32	10:26:51	4	4	6:14:32	7:03:17	7:03:18	8:01:07	8:01:07	9:09:40	9:09:41	10:26:51								
